"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","LiveCaptionEnabled","Both","Software\Policies\Google\Chrome","LiveCaptionEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","Accessibility","SUPPORTED_WIN7","chrome.admx"
"Local","LiveTranslateEnabled","Both","Software\Policies\Google\Chrome","LiveTranslateEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","Accessibility","SUPPORTED_WIN7","chrome.admx"
"Local","UiAutomationProviderEnabled","Both","Software\Policies\Google\Chrome","UiAutomationProviderEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","Accessibility","SUPPORTED_WIN7","chrome.admx"
"Local","LiveCaptionEnabled_recommended","Both","Software\Policies\Google\Chrome\Recommended","LiveCaptionEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","Accessibility_recommended","SUPPORTED_WIN7","chrome.admx"
"Local","LiveTranslateEnabled_recommended","Both","Software\Policies\Google\Chrome\Recommended","LiveTranslateEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","Accessibility_recommended","SUPPORTED_WIN7","chrome.admx"
"Local","SameOriginTabCaptureAllowedByOrigins","Both","Software\Policies\Google\Chrome","SameOriginTabCaptureAllowedByOrigins","List","Software\Policies\Google\Chrome\SameOriginTabCaptureAllowedByOrigins","SameOriginTabCaptureAllowedByOriginsDesc","ScreenCapture","SUPPORTED_WIN7","chrome.admx"
"Local","ScreenCaptureAllowed","Both","Software\Policies\Google\Chrome","ScreenCaptureAllowed","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","ScreenCapture","SUPPORTED_WIN7","chrome.admx"
"Local","ScreenCaptureAllowedByOrigins","Both","Software\Policies\Google\Chrome","ScreenCaptureAllowedByOrigins","List","Software\Policies\Google\Chrome\ScreenCaptureAllowedByOrigins","ScreenCaptureAllowedByOriginsDesc","ScreenCapture","SUPPORTED_WIN7","chrome.admx"
"Local","TabCaptureAllowedByOrigins","Both","Software\Policies\Google\Chrome","TabCaptureAllowedByOrigins","List","Software\Policies\Google\Chrome\TabCaptureAllowedByOrigins","TabCaptureAllowedByOriginsDesc","ScreenCapture","SUPPORTED_WIN7","chrome.admx"
"Local","WindowCaptureAllowedByOrigins","Both","Software\Policies\Google\Chrome","WindowCaptureAllowedByOrigins","List","Software\Policies\Google\Chrome\WindowCaptureAllowedByOrigins","WindowCaptureAllowedByOriginsDesc","ScreenCapture","SUPPORTED_WIN7","chrome.admx"
"Local","CACertificateManagementAllowed","Both","Software\Policies\Google\Chrome","CACertificateManagementAllowed","Dropdown","CACertificateManagementAllowed","CACertificateManagementAllowed","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
"Local","CACertificates","Both","Software\Policies\Google\Chrome","CACertificates","List","Software\Policies\Google\Chrome\CACertificates","CACertificatesDesc","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
"Local","CACertificatesWithConstraints","Both","Software\Policies\Google\Chrome","CACertificatesWithConstraints","TextBox","CACertificatesWithConstraints","CACertificatesWithConstraints","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
"Local","CADistrustedCertificates","Both","Software\Policies\Google\Chrome","CADistrustedCertificates","List","Software\Policies\Google\Chrome\CADistrustedCertificates","CADistrustedCertificatesDesc","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
"Local","CAHintCertificates","Both","Software\Policies\Google\Chrome","CAHintCertificates","List","Software\Policies\Google\Chrome\CAHintCertificates","CAHintCertificatesDesc","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
"Local","CAPlatformIntegrationEnabled","Both","Software\Policies\Google\Chrome","CAPlatformIntegrationEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","CertificateManagement","SUPPORTED_WIN7","chrome.admx"
