"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","ApplicationGuardContainerProxy","Both","Software\Policies\Microsoft\Edge","ApplicationGuardContainerProxy","TextBox","ApplicationGuardContainerProxy","ApplicationGuardContainerProxy","ApplicationGuard","SUPPORTED_WIN7_V84","msedge.admx"
"Local","ApplicationGuardFavoritesSyncEnabled","Both","Software\Policies\Microsoft\Edge","ApplicationGuardFavoritesSyncEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","ApplicationGuard","SUPPORTED_WIN7_V90","msedge.admx"
"Local","ApplicationGuardPassiveModeEnabled","Both","Software\Policies\Microsoft\Edge","ApplicationGuardPassiveModeEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","ApplicationGuard","SUPPORTED_WIN7_V94","msedge.admx"
"Local","ApplicationGuardTrafficIdentificationEnabled","Both","Software\Policies\Microsoft\Edge","ApplicationGuardTrafficIdentificationEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","ApplicationGuard","SUPPORTED_WIN7_V91","msedge.admx"
"Local","ApplicationGuardUploadBlockingEnabled","Both","Software\Policies\Microsoft\Edge","ApplicationGuardUploadBlockingEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","ApplicationGuard","SUPPORTED_WIN7_V96","msedge.admx"
"Local","EdgeDisableDialProtocolForCastDiscovery","Both","Software\Policies\Microsoft\Edge","EdgeDisableDialProtocolForCastDiscovery","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","GoogleCast","SUPPORTED_WIN7_V121","msedge.admx"
"Local","EnableMediaRouter","Both","Software\Policies\Microsoft\Edge","EnableMediaRouter","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","GoogleCast","SUPPORTED_WIN7_V77","msedge.admx"
"Local","ShowCastIconInToolbar","Both","Software\Policies\Microsoft\Edge","ShowCastIconInToolbar","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","GoogleCast","SUPPORTED_WIN7_V77","msedge.admx"
"Local","CACertificateManagementAllowed","Both","Software\Policies\Microsoft\Edge","CACertificateManagementAllowed","Dropdown","CACertificateManagementAllowed","CACertificateManagementAllowed","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","CACertificates","Both","Software\Policies\Microsoft\Edge","CACertificates","List","Software\Policies\Microsoft\Edge\CACertificates","CACertificatesDesc","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","CACertificatesWithConstraints","Both","Software\Policies\Microsoft\Edge","CACertificatesWithConstraints","TextBox","CACertificatesWithConstraints","CACertificatesWithConstraints","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","CADistrustedCertificates","Both","Software\Policies\Microsoft\Edge","CADistrustedCertificates","List","Software\Policies\Microsoft\Edge\CADistrustedCertificates","CADistrustedCertificatesDesc","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","CAHintCertificates","Both","Software\Policies\Microsoft\Edge","CAHintCertificates","List","Software\Policies\Microsoft\Edge\CAHintCertificates","CAHintCertificatesDesc","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","CAPlatformIntegrationEnabled","Both","Software\Policies\Microsoft\Edge","CAPlatformIntegrationEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","CertificateManagement","SUPPORTED_WIN7_V133","msedge.admx"
"Local","AutoSelectCertificateForUrls","Both","Software\Policies\Microsoft\Edge","AutoSelectCertificateForUrls","List","Software\Policies\Microsoft\Edge\AutoSelectCertificateForUrls","AutoSelectCertificateForUrlsDesc","ContentSettings","SUPPORTED_WIN7_V77","msedge.admx"
