"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"ApplicationGuardContainerProxy","Software\Policies\Microsoft\Edge","ApplicationGuardContainerProxy","Application Guard Container Proxy (User)","ApplicationGuardContainerProxy","ApplicationGuardContainerProxy; Application Guard Container Proxy; \Microsoft Edge\Application Guard settings; Microsoft Edge\Application Guard settings; Application Guard settings","user_vendor_msft_policy_config_microsoft_edgev84diff~policy~microsoft_edge~applicationguard_applicationguardcontainerproxy","/Config/microsoft_edgev84diff~Policy~microsoft_edge~ApplicationGuard/ApplicationGuardContainerProxy","",,""
"HttpAllowlist","Software\Policies\Microsoft\Edge","HttpAllowlist","HTTP Allowlist (User)","HttpAllowlist","HttpAllowlist; HTTP Allowlist; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edgev133~policy~microsoft_edge_httpallowlist","/Config/microsoft_edgev133~Policy~microsoft_edge/HttpAllowlist","",,""
"HttpAllowlist","Software\Policies\Microsoft\Edge","HttpAllowlist","HTTP Allowlist","HttpAllowlist","HttpAllowlist; HTTP Allowlist; \Microsoft Edge WebView2; Microsoft Edge WebView2; Microsoft Edge Web View2","device_vendor_msft_policy_config_microsoft_edge_webview2v2~policy~microsoft_edge_webview2_httpallowlist","/Config/microsoft_edge_webview2v2~Policy~microsoft_edge_webview2/HttpAllowlist","",,""
"HttpAllowlist","Software\Policies\Microsoft\Edge","HttpAllowlist","HTTP Allowlist (User)","HttpAllowlist","HttpAllowlist; HTTP Allowlist; \Microsoft Edge WebView2; Microsoft Edge WebView2; Microsoft Edge Web View2","user_vendor_msft_policy_config_microsoft_edge_webview2v2~policy~microsoft_edge_webview2_httpallowlist","/Config/microsoft_edge_webview2v2~Policy~microsoft_edge_webview2/HttpAllowlist","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (User)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_httpsonlymode","/Config/chromeIntuneV1~Policy~googlechrome/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edgev140~policy~microsoft_edge_httpsonlymode","/Config/microsoft_edgev140~Policy~microsoft_edge/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (Device)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","device_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_httpsonlymode","/Config/chromeIntuneV1~Policy~googlechrome/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (User)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_httpsonlymode","/Config/chromeIntuneV1~Policy~googlechrome/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (User)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edgev140~policy~microsoft_edge_httpsonlymode","/Config/microsoft_edgev140~Policy~microsoft_edge/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (User)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edgev140~policy~microsoft_edge_httpsonlymode","/Config/microsoft_edgev140~Policy~microsoft_edge/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","device_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_httpsonlymode","/Config/chromeIntuneV1~Policy~googlechrome/HttpsOnlyMode","",,""
"HttpsOnlyMode","Software\Policies\Microsoft\Edge","HttpsOnlyMode","Allow HTTPS-Only Mode to be enabled (Device)","HttpsOnlyMode","HttpsOnlyMode; Allow HTTPS-Only Mode to be enabled; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edgev140~policy~microsoft_edge_httpsonlymode","/Config/microsoft_edgev140~Policy~microsoft_edge/HttpsOnlyMode","",,""
"HttpsUpgradesEnabled","Software\Policies\Microsoft\Edge","HttpsUpgradesEnabled","Enable automatic HTTPS upgrades","HttpsUpgradesEnabled","HttpsUpgradesEnabled; Enable automatic HTTPS upgrades; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edgev136~policy~microsoft_edge_httpsupgradesenabled","/Config/microsoft_edgev136~Policy~microsoft_edge/HttpsUpgradesEnabled","",,""
"HttpsUpgradesEnabled","Software\Policies\Microsoft\Edge","HttpsUpgradesEnabled","Enable automatic HTTPS upgrades (User)","HttpsUpgradesEnabled","HttpsUpgradesEnabled; Enable automatic HTTPS upgrades; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edgev136~policy~microsoft_edge_httpsupgradesenabled","/Config/microsoft_edgev136~Policy~microsoft_edge/HttpsUpgradesEnabled","",,""
"HubsSidebarEnabled","Software\Policies\Microsoft\Edge","HubsSidebarEnabled","Show Hubs Sidebar","HubsSidebarEnabled","HubsSidebarEnabled; Show Hubs Sidebar; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edgev99~policy~microsoft_edge_hubssidebarenabled","/Config/microsoft_edgev99~Policy~microsoft_edge/HubsSidebarEnabled","",,""
"HubsSidebarEnabled","Software\Policies\Microsoft\Edge","HubsSidebarEnabled","Show Hubs Sidebar (User)","HubsSidebarEnabled","HubsSidebarEnabled; Show Hubs Sidebar; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edgev99~policy~microsoft_edge_hubssidebarenabled","/Config/microsoft_edgev99~Policy~microsoft_edge/HubsSidebarEnabled","",,""
"HubsSidebarEnabled","Software\Policies\Microsoft\Edge","HubsSidebarEnabled","Show Hubs Sidebar","HubsSidebarEnabled","Uncategorized","com.microsoft.edge.mamedgeappconfigsettings.hubssidebarenabled","com.microsoft.edge.HubsSidebarEnabled","",,""
