"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"LiveCaptionEnabled","Software\Policies\Google\Chrome","LiveCaptionEnabled","","","","","","","",""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC (Device)","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","device_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_webrtcudpportrange","/Config/chromeIntuneV1~Policy~googlechrome/WebRtcUdpPortRange","",,""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_webrtcudpportrange","/Config/microsoft_edge~Policy~microsoft_edge/WebRtcUdpPortRange","",,""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC (Device)","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Microsoft Edge; Microsoft Edge","device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_webrtcudpportrange","/Config/microsoft_edge~Policy~microsoft_edge/WebRtcUdpPortRange","",,""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC (User)","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_webrtcudpportrange","/Config/chromeIntuneV1~Policy~googlechrome/WebRtcUdpPortRange","",,""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC (User)","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_webrtcudpportrange","/Config/chromeIntuneV1~Policy~googlechrome/WebRtcUdpPortRange","",,""
"WindowOcclusionEnabled","Software\Policies\Google\Chrome","WindowOcclusionEnabled","Enable Window Occlusion (User)","WindowOcclusionEnabled","WindowOcclusionEnabled; Enable Window Occlusion; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_windowocclusionenabled","/Config/chromeIntuneV1~Policy~googlechrome/WindowOcclusionEnabled","",,""
"WindowOcclusionEnabled","Software\Policies\Google\Chrome","WindowOcclusionEnabled","Enable Window Occlusion","WindowOcclusionEnabled","WindowOcclusionEnabled; Enable Window Occlusion; \Google\Google Chrome; Administrative Templates\Google\Google Chrome; Google Chrome","device_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_windowocclusionenabled","/Config/chromeIntuneV1~Policy~googlechrome/WindowOcclusionEnabled","",,""
"WebRtcUdpPortRange","Software\Policies\Google\Chrome","WebRtcUdpPortRange","Restrict the range of local UDP ports used by WebRTC (User)","WebRtcUdpPortRange","WebRtcUdpPortRange; Restrict the range of local UDP ports used by WebRTC; \Microsoft Edge; Microsoft Edge","user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_webrtcudpportrange","/Config/microsoft_edge~Policy~microsoft_edge/WebRtcUdpPortRange","",,""
"AlwaysOpenPdfExternally_recommended","Software\Policies\Google\Chrome\Recommended","AlwaysOpenPdfExternally","Always Open PDF files externally (User)","AlwaysOpenPdfExternally_recommended","AlwaysOpenPdfExternally_recommended; Always Open PDF files externally; \Google\Google Chrome - Default Settings (users can override); Administrative Templates\Google\Google Chrome - Default Settings (users can override); Google Chrome - Default Settings (users can override); Google Chrome - Default Settings users can override","user_vendor_msft_policy_config_chromeintunev1~policy~googlechrome_recommended_alwaysopenpdfexternally_recommended","/Config/chromeIntuneV1~Policy~googlechrome_recommended/AlwaysOpenPdfExternally_recommended","",,""
