"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"DisablePersonalSync","SOFTWARE\Policies\Microsoft\OneDrive","DisablePersonalSync","Prevent users from syncing personal OneDrive accounts (User)","DisablePersonalSync","DisablePersonalSync; Prevent users from syncing personal OneDrive accounts; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_disablepersonalsync","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/DisablePersonalSync","",,""
"AutoMountTeamSites","SOFTWARE\Policies\Microsoft\OneDrive","AutoMountTeamSites","Configure team site libraries to sync automatically (User)","AutoMountTeamSites","AutoMountTeamSites; Configure team site libraries to sync automatically; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_automountteamsites","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/AutoMountTeamSites","",,""
"DisablePauseOnBatterySaver","SOFTWARE\Policies\Microsoft\OneDrive","DisablePauseOnBatterySaver","Continue syncing when devices have battery saver mode turned on (User)","DisablePauseOnBatterySaver","DisablePauseOnBatterySaver; Continue syncing when devices have battery saver mode turned on; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_disablepauseonbatterysaver","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/DisablePauseOnBatterySaver","",,""
"DisablePauseOnMeteredNetwork","SOFTWARE\Policies\Microsoft\OneDrive","DisablePauseOnMeteredNetwork","Continue syncing on metered networks (User)","DisablePauseOnMeteredNetwork","DisablePauseOnMeteredNetwork; Continue syncing on metered networks; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_disablepauseonmeterednetwork","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/DisablePauseOnMeteredNetwork","",,""
"ForcedLocalMassDeleteDetection","SOFTWARE\Policies\Microsoft\OneDrive","ForcedLocalMassDeleteDetection","Require users to confirm large delete operations","ForcedLocalMassDeleteDetection","ForcedLocalMassDeleteDetection; Require users to confirm large delete operations; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_forcedlocalmassdeletedetection","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/ForcedLocalMassDeleteDetection","",,""
"BlockExternalSync","SOFTWARE\Policies\Microsoft\OneDrive","BlockExternalSync","Prevent users from syncing libraries and folders shared from other organizations","BlockExternalSync","BlockExternalSync; Prevent users from syncing libraries and folders shared from other organizations; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_blockexternalsync","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/BlockExternalSync","",,""
"PermitDisablePermissionInheritance","SOFTWARE\Policies\Microsoft\OneDrive","PermitDisablePermissionInheritance","Allow OneDrive to disable Windows permission inheritance in folders synced read-only","PermitDisablePermissionInheritance","PermitDisablePermissionInheritance; Allow OneDrive to disable Windows permission inheritance in folders synced read-only; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv3~policy~onedrivengsc_permitdisablepermissioninheritance","/Config/OneDriveNGSCv3~Policy~OneDriveNGSC/PermitDisablePermissionInheritance","",,""
"EnableAutomaticUploadBandwidthManagement","SOFTWARE\Policies\Microsoft\OneDrive","EnableAutomaticUploadBandwidthManagement","Enable automatic upload bandwidth management for OneDrive","EnableAutomaticUploadBandwidthManagement","EnableAutomaticUploadBandwidthManagement; Enable automatic upload bandwidth management for OneDrive; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv3~policy~onedrivengsc_enableautomaticuploadbandwidthmanagement","/Config/OneDriveNGSCv3~Policy~OneDriveNGSC/EnableAutomaticUploadBandwidthManagement","",,""
"MinDiskSpaceLimitInMB","SOFTWARE\Policies\Microsoft\OneDrive","MinDiskSpaceLimitInMB","Block file downloads when users are low on disk space","MinDiskSpaceLimitInMB","MinDiskSpaceLimitInMB; Block file downloads when users are low on disk space; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv3~policy~onedrivengsc_mindiskspacelimitinmb","/Config/OneDriveNGSCv3~Policy~OneDriveNGSC/MinDiskSpaceLimitInMB","",,""
"WarningMinDiskSpaceLimitInMB","SOFTWARE\Policies\Microsoft\OneDrive","WarningMinDiskSpaceLimitInMB","Warn users who are low on disk space","WarningMinDiskSpaceLimitInMB","WarningMinDiskSpaceLimitInMB; Warn users who are low on disk space; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv3~policy~onedrivengsc_warningmindiskspacelimitinmb","/Config/OneDriveNGSCv3~Policy~OneDriveNGSC/WarningMinDiskSpaceLimitInMB","",,""
"DisableFirstDeleteDialog","SOFTWARE\Policies\Microsoft\OneDrive","DisableFirstDeleteDialog","Hide the ""Deleted files are removed everywhere"" reminder","DisableFirstDeleteDialog","DisableFirstDeleteDialog; Hide the ""Deleted files are removed everywhere"" reminder; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv4~policy~onedrivengsc_disablefirstdeletedialog","/Config/OneDriveNGSCv4~Policy~OneDriveNGSC/DisableFirstDeleteDialog","",,""
