"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","CleanupInvalidSessions","Machine","Software\FSLogix\Apps","CleanupInvalidSessions","Dropdown","CleanupInvalidSessions","CleanupInvalidSessions","FSLogix","v2105","fslogix.admx"
"Local","VHDCompactDisk","Machine","Software\FSLogix\Apps","VHDCompactDisk","Dropdown","VHDCompactDisk","VHDCompactDisk","FSLogix","v2210","fslogix.admx"
"Local","RoamRecycleBin","Machine","Software\FSLogix\Apps","RoamRecycleBin","Dropdown","RoamRecycleBin","RoamRecycleBin","FSLogix","v2210","fslogix.admx"
"Local","CCDCacheDirectory","Machine","SYSTEM\CurrentControlSet\Services\frxccd\Parameters","CCDCacheDirectory","TextBox","CCDCacheDirectory","CacheDirectory","CCD","v2105","fslogix.admx"
"Local","CCDProxyDirectory","Machine","SYSTEM\CurrentControlSet\Services\frxccds\Parameters","CCDProxyDirectory","TextBox","CCDProxyDirectory","ProxyDirectory","CCD","v2105","fslogix.admx"
"Local","CCDWriteCacheDirectory","Machine","SYSTEM\CurrentControlSet\Services\frxccds\Parameters","CCDWriteCacheDirectory","TextBox","CCDWriteCacheDirectory","WriteCacheDirectory","CCD","v2105","fslogix.admx"
"Local","LoggingADComputerGroupProcess","Machine","Software\FSLogix\Logging","LoggingADComputerGroupProcess","Dropdown","LoggingADComputerGroupProcess","AdsComputerGroup","Logging","v2105","fslogix.admx"
"Local","LoggingDriverInterface","Machine","Software\FSLogix\Logging","LoggingDriverInterface","Dropdown","LoggingDriverInterface","DriverInterface","Logging","v2105","fslogix.admx"
"Local","LoggingEnabled","Machine","Software\FSLogix\Logging","LoggingEnabled","Dropdown","LoggingEnabled","LoggingEnabled","Logging","v2105","fslogix.admx"
"Local","LoggingFontVisibility","Machine","Software\FSLogix\Logging","LoggingFontVisibility","Dropdown","LoggingFontVisibility","Font","Logging","v2105","fslogix.admx"
"Local","LoggingLogDirectory","Machine","Software\FSLogix\Logging","LoggingLogDirectory","TextBox","LoggingLogDirectory","LogDir","Logging","v2105","fslogix.admx"
"Local","LoggingLogKeepingPeriod","Machine","Software\FSLogix\Logging","LoggingLogKeepingPeriod","Number","","LogFileKeepingPeriod","Logging","v2105","fslogix.admx"
"Local","LoggingNetwork","Machine","Software\FSLogix\Logging","LoggingNetwork","Dropdown","LoggingNetwork","Network","Logging","v2105","fslogix.admx"
"Local","LoggingODFCContainer","Machine","Software\FSLogix\Logging","LoggingODFCContainer","Dropdown","LoggingODFCContainer","ODFC","Logging","v2105","fslogix.admx"
"Local","LoggingPrinterVisibility","Machine","Software\FSLogix\Logging","LoggingPrinterVisibility","Dropdown","LoggingPrinterVisibility","Printer","Logging","v2105","fslogix.admx"
"Local","LoggingProcessStart","Machine","Software\FSLogix\Logging","LoggingProcessStart","Dropdown","LoggingProcessStart","ProcessStart","Logging","v2105","fslogix.admx"
"Local","LoggingProfileContainer","Machine","Software\FSLogix\Logging","LoggingProfileContainer","Dropdown","LoggingProfileContainer","Profile","Logging","v2105","fslogix.admx"
"Local","LoggingRuleCompilation","Machine","Software\FSLogix\Logging","LoggingRuleCompilation","Dropdown","LoggingRuleCompilation","RuleCompilation","Logging","v2105","fslogix.admx"
