"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"CleanupInvalidSessions","Software\FSLogix\Apps","CleanupInvalidSessions","Clean-up Invalid Sessions","CleanupInvalidSessions","CleanupInvalidSessions; Clean-up Invalid Sessions; \FSLogix; Administrative Templates\FSLogix; FS Logix; FSLogix","device_vendor_msft_policy_config_fslogixv1~policy~fslogix_cleanupinvalidsessions","/Config/FSLogixv1~Policy~FSLogix/CleanupInvalidSessions","",,""
"ProfilesLockedRetryInterval","Software\FSLogix\Profiles","ProfilesLockedRetryInterval","Locked Retry Interval (Device)","ProfilesLockedRetryInterval","ProfilesLockedRetryInterval; Locked Retry Interval; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profileslockedretryinterval","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesLockedRetryInterval","",,""
"ProfilesLockedRetryInterval","Software\FSLogix\Profiles","ProfilesLockedRetryInterval","Locked Retry Interval","ProfilesLockedRetryInterval","ProfilesLockedRetryInterval; Locked Retry Interval; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profileslockedretryinterval","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesLockedRetryInterval","",,""
"ProfilesOutlookCachedMode","Software\FSLogix\Profiles","ProfilesOutlookCachedMode","Outlook Cached Mode","ProfilesOutlookCachedMode","ProfilesOutlookCachedMode; Outlook Cached Mode; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesoutlookcachedmode","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesOutlookCachedMode","",,""
"ProfilesPreventLoginWithFailure","Software\FSLogix\Profiles","ProfilesPreventLoginWithFailure","Prevent Login With Failure","ProfilesPreventLoginWithFailure","ProfilesPreventLoginWithFailure; Prevent Login With Failure; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilespreventloginwithfailure","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesPreventLoginWithFailure","",,""
"ProfilesPreventLoginWithTempProfile","Software\FSLogix\Profiles","ProfilesPreventLoginWithTempProfile","Prevent Login With Temp Profile","ProfilesPreventLoginWithTempProfile","ProfilesPreventLoginWithTempProfile; Prevent Login With Temp Profile; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilespreventloginwithtempprofile","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesPreventLoginWithTempProfile","",,""
"ProfilesProfileDirectorySDDL","Software\FSLogix\Profiles","ProfilesProfileDirectorySDDL","Profile Directory SDDL","ProfilesProfileDirectorySDDL","ProfilesProfileDirectorySDDL; Profile Directory SDDL; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesprofiledirectorysddl","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesProfileDirectorySDDL","",,""
"ProfilesProfileDirectorySDDL","Software\FSLogix\Profiles","ProfilesProfileDirectorySDDL","Profile Directory SDDL (Device)","ProfilesProfileDirectorySDDL","ProfilesProfileDirectorySDDL; Profile Directory SDDL; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesprofiledirectorysddl","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesProfileDirectorySDDL","",,""
"ProfilesProfileType","Software\FSLogix\Profiles","ProfilesProfileType","Profile Type","ProfilesProfileType","ProfilesProfileType; Profile Type; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesprofiletype","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesProfileType","",,""
"ProfilesLockedRetryCount","Software\FSLogix\Profiles","ProfilesLockedRetryCount","Locked Retry Count","ProfilesLockedRetryCount","ProfilesLockedRetryCount; Locked Retry Count; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profileslockedretrycount","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesLockedRetryCount","",,""
"ProfilesProfileType","Software\FSLogix\Profiles","ProfilesProfileType","","ProfilesProfileType","ProfilesProfileType; Profile Type; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesprofiletype","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesProfileType","",,""
"ProfilesReattachCount","Software\FSLogix\Profiles","ProfilesReattachCount","Reattach Count","ProfilesReattachCount","ProfilesReattachCount; Reattach Count; \FSLogix\Profile Containers; Administrative Templates\FSLogix\Profile Containers; Profile Containers","device_vendor_msft_policy_config_fslogixv1~policy~fslogix~profiles_profilesreattachcount","/Config/FSLogixv1~Policy~FSLogix~Profiles/ProfilesReattachCount","",,""
