"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","DisablePersonalSync","User","SOFTWARE\Policies\Microsoft\OneDrive","DisablePersonalSync","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","GPOSetUpdateRing","Machine","SOFTWARE\Policies\Microsoft\OneDrive","GPOSetUpdateRing","Dropdown","GPOSetUpdateRing_Dropdown","GPOSetUpdateRing","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DefaultRootDir","User","SOFTWARE\Policies\Microsoft\OneDrive","DefaultRootDir","List","Software\Policies\Microsoft\OneDrive\DefaultRootDir","DefaultRootDirList","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableCustomRoot","User","SOFTWARE\Policies\Microsoft\OneDrive","DisableCustomRoot","List","Software\Policies\Microsoft\OneDrive\DisableCustomRoot","DisableCustomRootList","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableAutoStart","User","SOFTWARE\Policies\Microsoft\OneDrive","EnableAutoStart","EnabledValue","","Enabled: 1","OneDriveNGSC","windows:SUPPORTED_Windows10","OneDrive.admx"
"Local","AutomaticUploadBandwidthPercentage","Machine","SOFTWARE\Policies\Microsoft\OneDrive","AutomaticUploadBandwidthPercentage","Number","","AutomaticUploadBandwidthPercentage","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","UploadBandwidthLimit","User","SOFTWARE\Policies\Microsoft\OneDrive","UploadBandwidthLimit","Number","","UploadBandwidthLimit","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DownloadBandwidthLimit","User","SOFTWARE\Policies\Microsoft\OneDrive","DownloadBandwidthLimit","Number","","DownloadBandwidthLimit","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","PreventNetworkTrafficPreUserSignIn","Machine","SOFTWARE\Policies\Microsoft\OneDrive","PreventNetworkTrafficPreUserSignIn","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","SilentAccountConfig","Machine","SOFTWARE\Policies\Microsoft\OneDrive","SilentAccountConfig","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DiskSpaceCheckThresholdMB","Machine","Software\Policies\Microsoft\OneDrive","DiskSpaceCheckThresholdMB","List","Software\Policies\Microsoft\OneDrive\DiskSpaceCheckThresholdMB","DiskSpaceCheckThresholdMBList","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","FilesOnDemandEnabled","Machine","SOFTWARE\Policies\Microsoft\OneDrive","FilesOnDemandEnabled","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","DehydrateSyncedTeamSites","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DehydrateSyncedTeamSites","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","AllowTenantList","Machine","SOFTWARE\Policies\Microsoft\OneDrive","AllowTenantList","List","Software\Policies\Microsoft\OneDrive\AllowTenantList","AllowTenantListBox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","BlockTenantList","Machine","SOFTWARE\Policies\Microsoft\OneDrive","BlockTenantList","List","Software\Policies\Microsoft\OneDrive\BlockTenantList","BlockTenantListBox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","SharePointOnPremFrontDoorUrl","Machine","SOFTWARE\Policies\Microsoft\OneDrive","SharePointOnPremFrontDoorUrl","TextBox","SharePointOnPremFrontDoorUrlBox","SharePointOnPremFrontDoorUrl","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","SharePointOnPremFrontDoorUrl","Machine","SOFTWARE\Policies\Microsoft\OneDrive","SharePointOnPremFrontDoorUrl","TextBox","SharePointOnPremFrontDoorUrlBox","SharePointOnPremTenantName","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
